region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Blair County,Pennsylvania,40.7426817,40.2502602,-78.1290608,-78.6078418,40.47516400568567,-78.38401768246045,943.5,32623.0,69.42933594501478,82.1758734476939,159489.0,448074.0,421918.0,345345.0,820673.0,30.0,2195499.0,7.5,548874.75,3.9372415941149876E7,1.312534909561646E8,1.150554362199646E8,9.135493958994144E7,2.3340187585346067E8,8177.244976806641,6.104381585606807E8,"[[0,10124],[5,9783],[10,4884],[15,3193],[20,1663],[25,812],[30,381],[35,268],[40,212],[45,141],[50,119],[55,99],[60,82],[65,67],[70,65],[75,37],[80,34],[85,28],[90,44],[95,31],[100,28],[105,25],[110,22],[115,19],[120,25],[125,21],[130,10],[135,16],[140,13],[145,15],[150,12],[155,8],[160,10],[165,8],[170,9],[175,9],[180,14],[185,10],[190,8],[195,10],[200,5],[205,13],[210,5],[215,5],[220,2],[225,5],[230,2],[235,2],[240,7],[245,4],[250,2],[255,4],[260,4],[265,2],[270,5],[275,6],[280,5],[285,2],[290,2],[295,9],[300,1],[305,2],[310,7],[315,6],[320,1],[325,3],[335,3],[340,1],[345,1],[350,3],[355,3],[360,4],[365,2],[370,3],[375,1],[380,1],[385,1],[395,3],[400,3],[405,1],[410,7],[415,4],[420,1],[425,2],[430,2],[440,1],[445,1],[450,3],[460,1],[475,1],[480,1],[485,2],[500,2],[520,1],[525,4],[530,2],[535,1],[540,5],[550,1],[555,2],[565,2],[575,1],[580,2],[585,3],[590,2],[595,1],[615,2],[620,1],[625,1],[630,1],[635,1],[640,1],[650,1],[655,1],[665,1],[715,1],[720,2],[735,1],[750,1],[755,1],[765,1],[805,1],[845,2],[850,1],[865,1],[880,1],[890,1],[900,1],[910,1],[915,2],[1000,1],[1020,1],[1030,1],[1040,1],[1055,1],[1065,1],[1090,1],[1150,1],[1235,1],[1250,2],[1255,1],[1310,1],[1320,1],[1345,1],[1380,1],[1485,1],[1495,1],[1520,1],[1530,1],[1535,1],[1600,1],[1620,1],[1640,1],[1645,1],[1650,1],[1660,1],[1690,1],[1715,1],[1740,1],[1875,1],[1990,1],[2010,1],[2070,1],[2365,1],[2440,1],[2500,1],[2530,1],[2885,1],[3455,1]]",387909.41775749315,0.0
Bland County,Virginia,37.2805659,36.9782856,-80.8668099,-81.3954202,37.13934031303089,-81.12189594826269,862.75,1.0,0.19305019305019305,50.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,2.25,2.25,2405.8633666992187,0.0,0.0,0.0,0.0,2405.8633666992187,2405.8633666992187,"[[0,1]]",1.991703514361149,0.0
Blount County,Tennessee,35.8859987,35.5458446,-83.6797604,-84.1821275,35.757577556152505,-83.97249306179165,1045.5,47006.0,86.63323122827623,86.11523312265274,388494.0,926001.0,633288.0,761824.0,1079925.0,54.0,3789532.0,13.5,947383.0,1.0714290749261476E8,2.974884984366701E8,1.8553769575665295E8,2.3236973454715577E8,3.424310859634095E8,16241.580029296874,1.1649699221965017E9,"[[0,5891],[5,10650],[10,9825],[15,8290],[20,5227],[25,2858],[30,1417],[35,696],[40,393],[45,289],[50,160],[55,145],[60,87],[65,102],[70,50],[75,65],[80,69],[85,47],[90,42],[95,31],[100,33],[105,42],[110,30],[115,27],[120,23],[125,16],[130,24],[135,17],[140,21],[145,16],[150,11],[155,13],[160,14],[165,9],[170,12],[175,7],[180,11],[185,9],[190,13],[195,3],[200,9],[205,5],[210,5],[215,8],[220,9],[225,3],[230,3],[235,6],[240,5],[245,9],[250,1],[255,4],[260,8],[265,2],[270,5],[275,3],[280,5],[285,4],[290,2],[295,4],[300,1],[305,6],[310,2],[315,2],[320,1],[325,2],[330,2],[335,4],[340,1],[345,3],[350,2],[355,5],[360,3],[365,4],[370,5],[375,2],[380,4],[385,3],[390,1],[395,2],[400,2],[405,2],[415,2],[420,3],[425,1],[435,3],[440,1],[450,1],[455,2],[460,1],[465,3],[470,1],[480,2],[490,1],[495,1],[500,1],[505,1],[510,1],[515,3],[520,3],[530,2],[535,3],[540,4],[545,1],[550,2],[555,2],[560,2],[565,3],[570,3],[580,1],[585,2],[595,1],[600,2],[605,2],[610,2],[615,3],[625,1],[635,1],[640,1],[645,1],[650,2],[655,4],[660,2],[675,2],[680,2],[685,1],[690,1],[695,1],[700,1],[725,1],[730,1],[745,1],[750,1],[775,1],[780,2],[800,2],[810,1],[820,2],[825,2],[840,1],[845,1],[855,2],[865,1],[870,1],[875,1],[885,2],[900,1],[905,1],[915,1],[925,1],[935,1],[965,1],[985,1],[1010,2],[1030,1],[1050,1],[1060,1],[1075,1],[1080,2],[1090,1],[1110,1],[1120,1],[1135,1],[1145,1],[1160,1],[1165,1],[1175,2],[1190,1],[1195,1],[1215,1],[1225,1],[1230,1],[1250,1],[1285,2],[1290,2],[1310,1],[1315,1],[1330,1],[1380,1],[1415,1],[1510,1],[1610,1],[1720,1],[1750,1],[1895,1],[1970,1],[2015,1],[2050,1],[2085,1],[2165,1],[2560,1],[2950,1],[3180,1],[4410,1]]",889591.0102966672,34.0
Blue Earth County,Minnesota,44.2504617,43.8481748,-93.7682908,-94.3685172,44.13092501726919,-93.97987747986059,983.4499999999999,9847.0,59.756635217352965,72.65014018002066,18210.0,191536.0,106763.0,125989.0,697780.0,40.0,1140278.0,10.0,285069.5,4549534.532586669,5.832082266307984E7,2.8720380937646493E7,3.456702693444213E7,2.013500509215455E8,11311.768560791015,3.2750781598930043E8,"[[0,2217],[5,2614],[10,1822],[15,1125],[20,489],[25,271],[30,207],[35,127],[40,92],[45,72],[50,80],[55,66],[60,46],[65,45],[70,37],[75,20],[80,33],[85,29],[90,27],[95,20],[100,27],[105,14],[110,19],[115,19],[120,10],[125,12],[130,12],[135,15],[140,7],[145,9],[150,8],[155,7],[160,6],[165,3],[170,7],[175,8],[180,6],[185,5],[190,6],[195,4],[200,3],[205,3],[210,5],[215,3],[220,2],[230,5],[235,3],[240,3],[245,4],[250,7],[255,2],[260,5],[265,2],[270,1],[275,6],[280,4],[285,3],[290,2],[295,4],[300,4],[305,1],[310,2],[315,2],[320,1],[325,3],[330,3],[340,2],[345,4],[355,2],[360,4],[365,1],[370,1],[375,2],[380,2],[385,2],[390,2],[395,2],[400,3],[405,4],[410,2],[415,2],[425,1],[430,1],[440,1],[450,1],[460,1],[465,2],[470,1],[495,1],[500,1],[505,1],[510,1],[515,2],[520,1],[545,1],[550,1],[560,3],[575,1],[580,2],[590,2],[610,1],[620,1],[630,1],[640,1],[675,2],[705,1],[730,1],[740,1],[745,1],[765,2],[770,1],[780,1],[785,2],[800,1],[805,1],[845,1],[850,1],[865,1],[875,1],[880,1],[885,1],[895,1],[920,1],[945,1],[965,1],[1010,1],[1040,1],[1045,1],[1055,1],[1065,1],[1090,1],[1125,1],[1160,2],[1165,1],[1185,1],[1200,1],[1215,1],[1225,1],[1260,1],[1435,1],[1480,1],[1500,1],[1515,1],[1730,1],[1765,1],[1780,1],[1825,1],[1830,1],[1890,1],[1930,1],[1995,1],[2095,1],[2555,1],[2735,1],[2765,1],[3305,1],[3935,1]]",165944.03002674849,5.0
Bonneville County,Idaho,43.626623,43.2873458,-111.0592019,-112.419567,43.49276295645373,-111.98316868204446,1118.6,30114.0,75.30565602325427,88.73239436619718,97650.0,576370.0,341168.0,503073.0,809108.0,48.0,2327369.0,12.0,581842.25,2.781890490278321E7,2.025699667976136E8,1.057253202381104E8,1.5771543217982787E8,2.650104076769104E8,15612.461120605469,7.588400317952459E8,"[[0,3851],[5,7757],[10,7568],[15,4982],[20,2401],[25,1034],[30,548],[35,368],[40,211],[45,103],[50,131],[55,107],[60,81],[65,85],[70,82],[75,44],[80,60],[85,56],[90,36],[95,24],[100,31],[105,22],[110,27],[115,31],[120,30],[125,29],[130,30],[135,18],[140,18],[145,25],[150,19],[155,14],[160,11],[165,22],[170,5],[175,10],[180,3],[185,14],[190,11],[195,6],[200,3],[205,9],[210,4],[215,5],[220,7],[225,3],[230,4],[235,6],[240,4],[245,5],[250,8],[255,2],[260,4],[265,5],[270,2],[275,8],[280,4],[295,2],[300,5],[305,2],[310,4],[315,2],[320,1],[325,3],[335,2],[340,2],[345,3],[350,2],[355,1],[360,3],[370,1],[375,2],[385,2],[390,1],[395,1],[405,2],[415,3],[420,1],[425,2],[435,3],[445,1],[450,1],[455,1],[460,3],[465,2],[470,2],[475,1],[485,1],[490,1],[495,2],[500,1],[510,1],[515,3],[530,3],[535,1],[550,1],[565,2],[575,3],[580,1],[585,1],[595,1],[640,1],[675,1],[700,1],[720,1],[745,1],[755,1],[760,1],[765,1],[775,1],[785,1],[830,1],[850,2],[855,1],[885,1],[895,1],[910,1],[925,1],[975,1],[985,1],[995,1],[1005,1],[1040,1],[1085,1],[1120,1],[1135,1],[1150,1],[1185,1],[1210,1],[1370,1],[1395,1],[1405,1],[1440,1],[1450,1],[1640,1],[1730,1],[1770,1],[1905,1],[1920,1],[2010,1],[2025,1],[2345,1],[2715,1]]",201781.8957442703,31.0
Boone County,Illinois,42.4947424,42.1531107,-88.7057236,-88.9406757,42.30218736053038,-88.8474705837339,973.25,14179.0,67.23562000977677,85.90730081793396,55698.0,311418.0,199807.0,232252.0,358577.0,50.0,1157752.0,12.5,289438.0,1.398187800544435E7,9.449795171459353E7,5.4360069752539046E7,6.3087446453472905E7,1.0409817518524778E8,14219.72657470703,3.3002552111129767E8,"[[0,2011],[5,3192],[10,3441],[15,2435],[20,1412],[25,577],[30,270],[35,173],[40,109],[45,67],[50,47],[55,39],[60,37],[65,25],[70,21],[75,26],[80,18],[85,23],[90,12],[95,14],[100,13],[105,11],[110,5],[115,7],[120,8],[125,6],[130,2],[135,6],[140,9],[145,3],[150,6],[155,4],[160,4],[165,2],[170,5],[175,9],[180,5],[185,5],[190,1],[195,4],[200,4],[205,6],[210,4],[215,5],[220,1],[230,2],[235,3],[245,2],[250,3],[260,1],[265,1],[275,1],[280,4],[285,1],[290,2],[305,1],[315,1],[320,2],[325,2],[335,2],[345,1],[350,4],[375,3],[385,1],[395,2],[400,1],[420,2],[430,2],[440,1],[445,1],[455,2],[465,1],[480,1],[485,2],[505,1],[520,2],[545,2],[570,1],[615,1],[680,1],[690,1],[705,1],[730,3],[765,1],[810,1],[830,1],[855,1],[880,1],[900,1],[925,1],[965,1],[1045,1],[1050,1],[1075,1],[1095,1],[1100,1],[1110,1],[1115,1],[1120,1],[1130,1],[1140,1],[1155,1],[1175,1],[1400,1],[1410,1],[1455,1],[1465,1],[1805,1],[1915,1],[1920,1],[2010,1],[3085,1],[4020,1]]",270481.4974169726,21.0
Boone County,Indiana,40.1789369,39.9228469,-86.2402063,-86.6955499,40.017058475152396,-86.40652697359886,982.6,11068.0,40.22571669740832,86.01849693013135,38469.0,251974.0,129436.0,204352.0,285620.0,48.0,909851.0,12.0,227462.75,9763316.066119384,7.652419118344729E7,3.463487286571655E7,5.755097502177126E7,8.455353645804444E7,13872.57960205078,2.6302689159509873E8,"[[0,1255],[5,2842],[10,2969],[15,1861],[20,942],[25,417],[30,175],[35,103],[40,63],[45,66],[50,46],[55,34],[60,25],[65,14],[70,17],[75,16],[80,12],[85,13],[90,10],[95,4],[100,14],[105,6],[110,13],[115,5],[120,7],[125,8],[130,6],[135,5],[140,2],[145,3],[150,8],[155,1],[160,4],[165,1],[170,6],[175,1],[180,3],[185,4],[190,1],[195,3],[200,2],[205,4],[210,2],[215,2],[235,2],[240,4],[250,2],[265,1],[270,2],[275,2],[285,2],[295,3],[300,1],[315,3],[320,1],[345,1],[350,2],[355,2],[370,1],[385,1],[390,1],[395,1],[410,1],[415,1],[430,1],[445,2],[450,1],[470,1],[480,1],[485,1],[490,1],[500,2],[520,1],[535,1],[560,1],[580,1],[620,1],[635,1],[655,1],[665,1],[680,1],[685,1],[710,1],[725,1],[775,1],[810,1],[930,1],[1000,1],[1055,1],[1595,1],[1680,1],[1730,1],[1840,1],[2490,1],[2555,1],[2590,1],[2785,1],[3045,1],[3225,1],[3250,1],[3390,1]]",217747.8536863818,6.0
Boone County,Kentucky,39.1410004,38.7791399,-84.5987027,-84.8900739,38.982167892548965,-84.68783681811114,998.75,19841.0,43.997437804777256,93.18085755882215,98841.0,349996.0,260396.0,322218.0,2145484.0,45.0,3176935.0,11.25,794233.75,2.5670628315444946E7,1.0895751306669928E8,7.191081796780401E7,9.31295406861023E7,6.499826632919555E8,13202.781573486327,9.49651163328006E8,"[[0,2071],[5,6176],[10,5017],[15,2679],[20,1157],[25,502],[30,318],[35,226],[40,162],[45,128],[50,115],[55,92],[60,80],[65,65],[70,54],[75,51],[80,47],[85,41],[90,30],[95,33],[100,35],[105,27],[110,25],[115,22],[120,28],[125,25],[130,17],[135,12],[140,21],[145,17],[150,10],[155,15],[160,15],[165,6],[170,10],[175,10],[180,5],[185,15],[190,5],[195,8],[200,8],[205,8],[210,6],[215,5],[220,6],[225,8],[230,4],[235,6],[240,7],[245,4],[250,5],[255,3],[260,5],[265,5],[270,5],[275,4],[280,6],[285,4],[290,2],[295,2],[300,7],[305,5],[310,6],[315,4],[320,3],[325,1],[330,4],[335,1],[340,5],[345,2],[350,3],[355,5],[360,3],[365,2],[370,3],[380,6],[390,2],[395,3],[400,2],[410,2],[415,1],[420,3],[425,1],[430,1],[435,2],[445,2],[450,2],[455,1],[460,2],[470,2],[475,1],[480,1],[490,1],[495,4],[500,3],[505,4],[510,4],[525,3],[530,2],[540,2],[545,2],[550,3],[555,1],[560,2],[570,1],[575,1],[580,1],[585,1],[590,1],[600,2],[605,1],[610,3],[635,3],[640,1],[645,1],[655,2],[665,1],[670,2],[675,2],[680,1],[695,1],[700,2],[705,3],[720,1],[725,2],[730,1],[740,2],[745,1],[750,1],[755,2],[760,1],[770,1],[775,1],[785,3],[790,1],[795,1],[805,2],[810,2],[825,1],[840,2],[845,2],[850,2],[855,1],[860,3],[865,1],[870,2],[875,1],[880,1],[900,1],[905,1],[910,1],[920,3],[925,2],[940,2],[960,1],[980,1],[985,1],[995,2],[1005,1],[1045,1],[1050,2],[1060,2],[1075,1],[1085,2],[1125,2],[1130,1],[1135,1],[1140,1],[1145,1],[1150,2],[1155,1],[1160,1],[1170,1],[1180,1],[1185,1],[1190,1],[1195,2],[1200,1],[1215,1],[1220,1],[1240,1],[1250,1],[1260,1],[1265,1],[1270,2],[1275,3],[1280,1],[1290,1],[1295,2],[1310,1],[1330,1],[1335,1],[1340,1],[1345,1],[1350,1],[1365,1],[1375,1],[1380,1],[1385,2],[1400,4],[1405,1],[1420,1],[1425,1],[1440,1],[1460,1],[1470,1],[1500,1],[1515,1],[1530,1],[1545,1],[1555,1],[1560,1],[1565,1],[1585,1],[1595,1],[1625,1],[1680,1],[1690,2],[1700,1],[1725,1],[1735,1],[1740,2],[1770,1],[1785,1],[1795,3],[1820,1],[1830,2],[1835,1],[1865,1],[1870,1],[1885,1],[1915,1],[1940,1],[1945,1],[1955,1],[1970,2],[1975,1],[2000,1],[2005,2],[2090,1],[2115,1],[2175,1],[2280,1],[2300,1],[2325,1],[2330,1],[2360,1],[2370,1],[2385,2],[2425,2],[2435,1],[2495,1],[2500,1],[2555,1],[2580,2],[2635,1],[2665,1],[2680,1],[2705,1],[2735,1],[2770,1],[2790,1],[2810,1],[2840,1],[2865,1],[2875,2],[2880,1],[2930,1],[2945,1],[2950,1],[2980,1],[2990,1],[3005,1],[3125,1],[3170,1],[3180,1],[3210,1],[3220,1],[3250,1],[3260,1],[3275,1],[3315,2],[3355,1],[3395,1],[3415,1],[3490,1],[3515,1],[3640,1],[3795,1],[3995,1],[4185,1],[4345,1],[4480,1],[5220,1],[5295,1],[6975,1]]",780207.3601862054,9.0
Boone County,Missouri,39.2450351,38.6558111,-92.1161442,-92.5689659,38.945900241277826,-92.32144136313406,1059.1,43162.0,74.08348398234557,94.8865634892719,149758.0,942972.0,686826.0,791044.0,1284527.0,55.0,3855127.0,13.75,963781.75,4.065314062930905E7,3.186879986227598E8,2.034346450512511E8,2.3611754363328853E8,4.0341720396416014E8,17166.863134765623,1.2023105319007697E9,"[[0,3154],[5,9028],[10,11829],[15,9294],[20,4298],[25,1653],[30,811],[35,484],[40,340],[45,252],[50,217],[55,163],[60,131],[65,99],[70,96],[75,98],[80,69],[85,69],[90,62],[95,61],[100,53],[105,55],[110,52],[115,32],[120,41],[125,42],[130,23],[135,27],[140,25],[145,20],[150,22],[155,32],[160,27],[165,23],[170,10],[175,10],[180,15],[185,12],[190,16],[195,16],[200,13],[205,16],[210,10],[215,13],[220,8],[225,9],[230,11],[235,4],[240,3],[245,7],[250,7],[255,5],[260,8],[265,8],[270,6],[275,8],[280,6],[285,7],[290,4],[295,3],[300,7],[305,4],[310,3],[315,4],[320,5],[325,2],[330,1],[335,5],[340,4],[345,3],[350,2],[355,2],[360,3],[365,3],[370,1],[375,2],[380,1],[385,1],[390,6],[395,5],[400,1],[405,4],[410,3],[420,1],[425,4],[430,1],[435,2],[440,1],[445,1],[450,1],[460,1],[465,2],[475,3],[480,2],[485,2],[490,1],[495,2],[505,4],[510,1],[515,2],[520,2],[525,1],[530,1],[535,1],[540,1],[545,1],[550,1],[555,3],[560,1],[565,1],[570,1],[575,2],[580,1],[585,1],[590,3],[595,1],[600,3],[605,1],[615,1],[620,1],[625,1],[630,1],[635,1],[645,1],[650,2],[665,3],[670,2],[675,2],[680,1],[685,1],[695,2],[700,2],[710,1],[715,2],[720,2],[730,1],[735,1],[740,3],[750,2],[755,1],[760,1],[765,2],[780,1],[785,1],[790,1],[795,1],[800,1],[805,2],[815,1],[820,2],[825,2],[845,1],[850,1],[855,1],[865,2],[875,1],[880,1],[890,1],[895,1],[905,1],[935,1],[945,2],[950,1],[980,2],[1000,1],[1025,1],[1040,1],[1045,1],[1065,2],[1075,1],[1080,1],[1090,2],[1095,3],[1105,1],[1140,1],[1145,2],[1155,2],[1185,2],[1255,1],[1260,1],[1275,1],[1295,1],[1315,1],[1400,1],[1430,1],[1440,1],[1455,1],[1470,1],[1515,1],[1520,1],[1555,1],[1645,1],[1695,1],[1760,1],[1765,1],[1800,1],[1840,1],[1870,1],[1880,1],[1940,1],[1960,1],[2150,1],[2205,1],[2460,1],[2525,1],[2635,1],[2755,1],[2875,1]]",1014507.4295084858,62.0
Boone County,Iowa,42.20966,41.8633258,-93.6982624,-94.1638141,42.00196032281154,-93.88784493628397,982.6,11.0,0.10643015521064302,91.66666666666667,25.0,137.0,206.0,179.0,1533.0,98.0,2080.0,24.5,520.0,6217.177661132812,43545.5166015625,56956.542572021484,51849.83875732421,462167.35597534175,27704.055810546874,620736.4315673828,"[[5,2],[10,1],[15,2],[20,1],[25,1],[30,2],[40,1],[295,1]]",314.5192267474916,0.0
Bossier Parish,Louisiana,33.0191843,32.236929,-93.3963216,-93.8114347,32.54898758231315,-93.65473175232019,1070.1499999999999,27646.0,66.69155767958866,88.44172878211076,220042.0,572748.0,402592.0,485681.0,1260417.0,58.0,2941480.0,14.5,735370.0,6.2305022703051746E7,1.9181238965101326E8,1.2037634859743655E8,1.495660991319763E8,4.142186217982667E8,18156.64102783203,9.382784818817437E8,"[[0,2318],[5,5083],[10,6761],[15,5617],[20,3006],[25,1371],[30,708],[35,389],[40,258],[45,171],[50,158],[55,144],[60,134],[65,96],[70,104],[75,102],[80,93],[85,82],[90,66],[95,62],[100,64],[105,45],[110,37],[115,42],[120,36],[125,39],[130,22],[135,19],[140,27],[145,28],[150,23],[155,21],[160,13],[165,16],[170,23],[175,27],[180,25],[185,25],[190,20],[195,9],[200,6],[205,9],[210,10],[215,8],[220,6],[225,8],[230,10],[235,4],[240,5],[245,9],[250,9],[255,8],[260,7],[265,10],[270,7],[275,6],[280,2],[285,2],[290,11],[295,2],[300,4],[305,8],[310,5],[315,2],[320,4],[325,2],[330,5],[335,2],[340,2],[345,4],[350,3],[355,1],[360,4],[365,7],[370,2],[375,5],[380,3],[385,3],[390,1],[395,2],[400,5],[405,3],[415,2],[420,4],[425,4],[430,3],[440,4],[445,1],[450,2],[455,1],[460,1],[465,4],[475,3],[480,1],[485,2],[490,1],[500,1],[505,1],[510,3],[515,1],[520,2],[525,2],[535,2],[545,2],[550,2],[555,2],[560,1],[570,1],[590,1],[595,1],[600,1],[615,1],[625,1],[630,2],[635,2],[640,1],[645,1],[650,1],[655,2],[660,1],[675,2],[680,1],[685,1],[710,1],[715,1],[725,2],[730,2],[740,2],[755,1],[775,1],[780,1],[795,1],[800,1],[815,1],[825,1],[835,1],[870,1],[875,1],[885,2],[905,2],[910,2],[940,1],[955,1],[965,1],[975,2],[990,1],[1005,1],[1025,1],[1035,1],[1060,1],[1090,1],[1115,1],[1120,1],[1180,1],[1190,1],[1195,1],[1220,1],[1260,1],[1305,1],[1310,1],[1325,1],[1365,1],[1375,1],[1380,1],[1400,1],[1410,2],[1420,1],[1470,1],[1535,1],[1625,1],[1695,1],[1725,2],[1825,1],[1855,1],[1870,1],[1940,1],[1960,1],[1980,1],[2030,1],[2035,1],[2120,1],[2150,1],[2190,1],[2405,1],[2555,1],[2690,1],[3095,1],[3155,1]]",634721.3587523679,123.0
Botetourt County,Virginia,37.7955917,37.3180472,-79.5778811,-80.0649519,37.452501996469124,-79.84761004630151,1052.3,2812.0,17.567859846436683,86.54970760233918,10631.0,51116.0,39012.0,38410.0,120353.0,46.0,259522.0,11.5,64880.5,2889005.1651672353,1.661195602773438E7,1.1618348994061284E7,1.1402913199688723E7,3.794671763189087E7,14103.762689208985,8.046894101854254E7,"[[0,302],[5,821],[10,750],[15,436],[20,219],[25,85],[30,47],[35,23],[40,17],[45,12],[50,2],[55,19],[60,6],[65,8],[70,8],[75,3],[80,1],[85,3],[90,2],[95,2],[100,3],[110,2],[130,2],[135,4],[140,3],[165,1],[185,1],[190,1],[195,2],[205,1],[265,1],[285,2],[300,1],[305,2],[310,1],[325,2],[345,1],[375,1],[395,1],[420,1],[445,1],[475,1],[510,1],[630,1],[920,1],[1005,1],[1195,1],[1225,1],[1445,1],[1610,1],[2510,1],[3065,1],[4395,1]]",66616.53144643774,6.0
Boulder County,Colorado,40.2624423,39.9132217,-105.0531387,-105.6447751,40.06895459327986,-105.18604647611336,1157.7,44589.0,53.23592933749285,77.30543178626536,32830.0,753759.0,412305.0,402795.0,1399601.0,30.0,3001290.0,7.5,750322.5,9471225.48624878,2.6680943068669426E8,1.329400540958802E8,1.2509038909888919E8,4.613159815515928E8,10227.446325683593,9.956270809193051E8,"[[0,11225],[5,17950],[10,7832],[15,2853],[20,1277],[25,692],[30,410],[35,277],[40,212],[45,146],[50,116],[55,118],[60,74],[65,91],[70,65],[75,59],[80,61],[85,37],[90,46],[95,50],[100,28],[105,40],[110,35],[115,35],[120,46],[125,31],[130,21],[135,26],[140,34],[145,28],[150,27],[155,19],[160,21],[165,14],[170,20],[175,20],[180,16],[185,17],[190,13],[195,15],[200,16],[205,13],[210,16],[215,15],[220,15],[225,16],[230,15],[235,9],[240,4],[245,7],[250,8],[255,7],[260,12],[265,7],[270,9],[275,7],[280,9],[285,5],[290,2],[295,11],[300,5],[305,6],[310,4],[315,3],[320,9],[325,8],[330,5],[335,5],[340,3],[345,3],[350,6],[355,3],[360,3],[365,6],[370,5],[375,2],[380,7],[385,4],[390,2],[395,6],[400,3],[405,3],[410,8],[415,4],[420,5],[425,8],[430,1],[435,3],[440,4],[445,4],[450,4],[455,2],[460,1],[465,3],[470,2],[475,1],[480,1],[485,2],[490,2],[495,4],[500,5],[505,2],[510,1],[515,1],[525,1],[535,2],[540,4],[545,3],[550,1],[555,1],[560,2],[565,2],[570,1],[575,1],[585,2],[590,1],[595,4],[600,1],[605,1],[610,2],[620,1],[625,1],[645,2],[650,2],[660,2],[665,2],[675,1],[680,3],[705,3],[710,1],[715,1],[720,2],[730,1],[740,2],[745,2],[750,1],[760,1],[770,1],[775,3],[780,1],[785,1],[795,2],[800,1],[825,1],[850,1],[860,1],[875,2],[885,1],[895,1],[915,1],[945,1],[960,1],[965,2],[980,1],[985,2],[1015,1],[1025,1],[1055,1],[1060,1],[1070,2],[1085,1],[1120,1],[1130,1],[1160,1],[1165,1],[1170,1],[1200,1],[1215,1],[1220,3],[1225,1],[1260,1],[1280,1],[1300,1],[1370,1],[1410,1],[1450,1],[1470,1],[1520,1],[1540,2],[1580,1],[1615,1],[1680,1],[1765,1],[1915,1],[1970,1],[2315,1],[2530,1],[3385,1],[3570,1],[4115,1]]",606221.1511052066,3830.0
Bowie County,Texas,33.676827,33.2967772,-94.0432413,-94.7465513,33.436596935550924,-94.15364801405072,1075.25,18943.0,79.7687118535175,76.28463273195877,123819.0,383033.0,250432.0,304166.0,890647.0,53.0,1952097.0,13.25,488024.25,3.4908479228649914E7,1.2592249807113647E8,7.465502391180415E7,9.239807462670286E7,2.9098757938198847E8,16277.206048583985,6.188716552202817E8,"[[0,2694],[5,4267],[10,3744],[15,2813],[20,1783],[25,1020],[30,533],[35,337],[40,228],[45,141],[50,121],[55,89],[60,93],[65,69],[70,72],[75,67],[80,69],[85,63],[90,46],[95,45],[100,52],[105,21],[110,32],[115,27],[120,24],[125,26],[130,22],[135,22],[140,18],[145,14],[150,10],[155,9],[160,15],[165,14],[170,13],[175,17],[180,9],[185,8],[190,11],[195,7],[200,6],[205,10],[210,7],[215,10],[220,4],[225,8],[230,9],[235,6],[240,7],[245,5],[250,5],[255,6],[260,5],[265,4],[270,5],[275,4],[280,5],[285,2],[290,4],[295,6],[300,1],[305,2],[310,3],[315,3],[320,1],[325,4],[330,5],[335,5],[340,2],[345,5],[350,3],[355,2],[360,3],[365,1],[370,2],[375,4],[380,2],[385,2],[390,2],[395,1],[400,3],[405,2],[410,4],[415,4],[420,2],[425,2],[430,1],[435,3],[440,1],[455,1],[460,1],[465,1],[470,2],[510,2],[515,1],[535,2],[540,3],[550,3],[555,1],[560,2],[575,2],[580,2],[590,1],[600,2],[605,1],[610,1],[630,1],[635,1],[640,1],[645,1],[650,1],[665,2],[670,1],[675,1],[685,2],[705,2],[725,1],[750,1],[760,1],[770,1],[795,2],[805,1],[830,1],[840,3],[845,1],[860,1],[865,1],[935,1],[940,1],[955,1],[965,1],[1060,1],[1080,2],[1090,1],[1095,1],[1185,1],[1210,1],[1220,1],[1230,1],[1305,1],[1340,1],[1350,1],[1435,1],[1480,1],[1495,1],[1575,1],[1605,1],[1650,1],[1695,1],[1780,1],[1820,1],[1855,1],[1860,1],[2370,1],[3225,1],[3535,1]]",418650.8222025414,26.0
Box Elder County,Utah,42.0006504,41.0569515,-111.926003,-114.0007498,41.59923860531718,-112.11625707616682,1179.8,460.0,2.576887622559289,74.79674796747967,354.0,8079.0,6644.0,9537.0,6385.0,50.0,30999.0,12.5,7749.75,106452.06737060547,3071917.69467163,2159591.5174072273,3159579.6640136717,2183920.8991088863,17579.25196533203,1.0681461842572017E7,"[[0,67],[5,90],[10,128],[15,83],[20,44],[25,20],[30,8],[35,2],[40,3],[45,2],[50,1],[55,1],[60,1],[65,1],[70,1],[75,2],[90,1],[100,2],[175,1],[255,1],[620,1]]",2840.289823423326,2.0
